class,genus,species,synonyms,common_names,status
AVES,Aratinga,solstitialis,,Sun parakeet,EN
INSECTA,Arawacus,aethesa,,,EN
AVES,Arborophila,ardens,,Hainan partridge,VU
AVES,Arborophila,charltonii,,Chestnut-necklaced partridge,VU
AVES,Arborophila,mandellii,,Chestnut-breasted partridge,VU
AVES,Arborophila,orientalis,,White-faced partridge ,VU
AVES,Arborophila,rufipectus,,Sichuan partridge,EN
MAMMALIA,Archboldomys,luzonensis,,Isarog shrew mouse,VU
MAMMALIA,Arctictis,binturong,,Binturong,VU
MAMMALIA,Arctocephalus,galapagoensis,Arctocephalus australis subspecies galapagoensis|Arctophoca galapagoensis,Galapagos Fur Seal,EN
AVES,Ardea,humbloti,,Madagascar heron,EN
AVES,Ardea,insignis,Ardea imperialis imperialis,White-bellied heron,CR
AVES,Ardenna,bulleri,Ardenna bulleri bulleri|Puffinus bulleri,Buller's shearwater,VU
AVES,Ardenna,creatopus,Ardenna creatopus creatopus|Puffinus creatopus,Pink-footed shearwater,VU
AVES,Ardeola,idae,,Madagascar pond-heron,EN
AVES,Ardeotis,nigriceps,,Great Indian bustard,CR
INSECTA,Aresceutica,morogorica,,Uluguru dusky grasshopper,EN
INSECTA,Aresceutica,subnuda,,Usambara dusky grasshopper,EN
AMPHIBIA,Argenteohyla,siemersi,,Red-spotted Argentina frog,EN
INSECTA,Argia,sabino,,Sabino dancer,VU
INSECTA,Argiolestes,realensis,,,VU
MAMMALIA,Arielulus,societatis,Pipistrellus societatis  ,Social sprite,VU
AMPHIBIA,Arlequinus,krebsi,,,EN
INSECTA,Aroegas,dilatatus,,Dilated false shieldback,VU
INSECTA,Aroegas,fuscus,,Brown false shieldback,EN
